Logger: #E50A33 'PT1000TEMP' - USP_EXP2 - (CGI) Expander for GP5W - (V2.60, Mai 12 2013),,
No,Time,#1:oC,#HK-Bat:V
287,12.05.2015 09:00:00,20.2682,
288,12.05.2015 10:00:00,20.2254,
289,12.05.2015 11:00:00,20.2318,
290,12.05.2015 12:00:00,20.2957,3.657
291,12.05.2015 13:00:00,20.421,
292,12.05.2015 14:00:00,20.5279,
293,12.05.2015 15:00:00,20.6364,
294,12.05.2015 16:00:00,20.7613,
295,12.05.2015 17:00:00,20.8796,
296,12.05.2015 18:00:00,20.9616,3.662
297,12.05.2015 19:00:00,21.024,
298,12.05.2015 20:00:00,21.0368,
299,12.05.2015 21:00:00,21.0209,
300,12.05.2015 22:00:00,20.9974,
301,12.05.2015 23:00:00,20.9614,
302,13.05.2015 00:00:00,20.9319,3.66
303,13.05.2015 01:00:00,20.9115,
304,13.05.2015 02:00:00,20.8739,
305,13.05.2015 03:00:00,20.8601,
306,13.05.2015 04:00:00,20.8302,
307,13.05.2015 05:00:00,20.8039,
308,13.05.2015 06:00:00,20.7813,3.661
309,13.05.2015 07:00:00,20.767,
310,13.05.2015 08:00:00,20.734,
311,13.05.2015 09:00:00,20.5695,
312,13.05.2015 10:00:00,20.4421,
313,13.05.2015 11:00:00,20.3615,
314,13.05.2015 12:00:00,20.3388,3.658
315,13.05.2015 13:00:00,20.3922,
316,13.05.2015 14:00:00,20.5144,
317,13.05.2015 15:00:00,20.7837,
318,13.05.2015 16:00:00,21.4598,
319,13.05.2015 17:00:00,22.4206,
320,13.05.2015 18:00:00,23.4204,3.671
321,13.05.2015 19:00:00,24.2258,
322,13.05.2015 20:00:00,24.645,
323,13.05.2015 21:00:00,24.7803,
324,13.05.2015 22:00:00,24.7174,
325,13.05.2015 23:00:00,24.5376,
326,14.05.2015 00:00:00,24.3038,3.673
327,14.05.2015 01:00:00,24.0424,
328,14.05.2015 02:00:00,23.7033,
329,14.05.2015 03:00:00,23.3799,
330,14.05.2015 04:00:00,23.0367,
331,14.05.2015 05:00:00,22.6852,
332,14.05.2015 06:00:00,22.2933,3.663
333,14.05.2015 07:00:00,21.8166,
334,14.05.2015 08:00:00,21.3292,
335,14.05.2015 09:00:00,20.8323,
336,14.05.2015 10:00:00,20.3665,
337,14.05.2015 11:00:00,19.9491,
338,14.05.2015 12:00:00,19.6251,3.655
339,14.05.2015 13:00:00,19.3458,
340,14.05.2015 14:00:00,19.1803,
341,14.05.2015 15:00:00,19.1387,
342,14.05.2015 16:00:00,19.2074,
343,14.05.2015 17:00:00,19.3355,
344,14.05.2015 18:00:00,19.4848,3.654
345,14.05.2015 19:00:00,19.6325,
346,14.05.2015 20:00:00,19.7389,
347,14.05.2015 21:00:00,19.8256,
348,14.05.2015 22:00:00,19.9089,
349,14.05.2015 23:00:00,19.9868,
350,15.05.2015 00:00:00,20.0497,3.654
351,15.05.2015 01:00:00,20.0809,
352,15.05.2015 02:00:00,20.0729,
353,15.05.2015 03:00:00,20.0414,
354,15.05.2015 04:00:00,19.9841,
355,15.05.2015 05:00:00,19.9133,
356,15.05.2015 06:00:00,19.8345,3.652
357,15.05.2015 07:00:00,19.76,
358,15.05.2015 08:00:00,19.7024,
359,15.05.2015 09:00:00,19.8159,
360,15.05.2015 10:00:00,20.0858,
361,15.05.2015 11:00:00,20.3558,
362,15.05.2015 12:00:00,20.5885,3.657
363,15.05.2015 13:00:00,20.7572,
364,15.05.2015 14:00:00,20.8084,
365,15.05.2015 15:00:00,20.7698,
366,15.05.2015 16:00:00,20.5977,
367,15.05.2015 17:00:00,20.4192,
368,15.05.2015 18:00:00,20.6868,3.657
369,15.05.2015 19:00:00,21.264,
370,15.05.2015 20:00:00,21.6212,
371,15.05.2015 21:00:00,21.7129,
372,15.05.2015 22:00:00,21.7803,
373,15.05.2015 23:00:00,21.856,
374,16.05.2015 00:00:00,21.9339,3.66
375,16.05.2015 01:00:00,21.9973,
376,16.05.2015 02:00:00,22.042,
377,16.05.2015 03:00:00,22.0756,
378,16.05.2015 04:00:00,22.1117,
379,16.05.2015 05:00:00,22.1341,
380,16.05.2015 06:00:00,22.1373,3.662
381,16.05.2015 07:00:00,22.1419,
382,16.05.2015 08:00:00,22.1416,
383,16.05.2015 09:00:00,22.1337,
384,16.05.2015 10:00:00,22.1246,
385,16.05.2015 11:00:00,22.1138,
386,16.05.2015 12:00:00,22.0975,3.664
387,16.05.2015 13:00:00,22.0937,
388,16.05.2015 14:00:00,22.0762,
389,16.05.2015 15:00:00,22.0691,
390,16.05.2015 16:00:00,22.0624,
391,16.05.2015 17:00:00,22.0641,
392,16.05.2015 18:00:00,22.0706,3.662
393,16.05.2015 19:00:00,22.0977,
394,16.05.2015 20:00:00,22.1158,
395,16.05.2015 21:00:00,22.1596,
396,16.05.2015 22:00:00,22.2001,
397,16.05.2015 23:00:00,22.2671,
398,17.05.2015 00:00:00,22.3139,3.663
399,17.05.2015 01:00:00,22.3795,
400,17.05.2015 02:00:00,22.4396,
401,17.05.2015 03:00:00,22.4957,
402,17.05.2015 04:00:00,22.5444,
403,17.05.2015 05:00:00,22.5972,
404,17.05.2015 06:00:00,22.6256,3.664
405,17.05.2015 07:00:00,22.6392,
406,17.05.2015 08:00:00,22.6463,
407,17.05.2015 09:00:00,22.6576,
408,17.05.2015 10:00:00,22.6599,
409,17.05.2015 11:00:00,22.6339,
410,17.05.2015 12:00:00,22.6274,3.664
411,17.05.2015 13:00:00,22.5871,
412,17.05.2015 14:00:00,22.5537,
413,17.05.2015 15:00:00,22.5059,
414,17.05.2015 16:00:00,22.4673,
415,17.05.2015 17:00:00,22.4407,
416,17.05.2015 18:00:00,22.4301,3.662
417,17.05.2015 19:00:00,22.4377,
418,17.05.2015 20:00:00,22.454,
419,17.05.2015 21:00:00,22.4841,
420,17.05.2015 22:00:00,22.5399,
421,17.05.2015 23:00:00,22.6209,
422,18.05.2015 00:00:00,22.7066,3.665
423,18.05.2015 01:00:00,22.7943,
424,18.05.2015 02:00:00,22.8847,
425,18.05.2015 03:00:00,22.9846,
426,18.05.2015 04:00:00,23.0576,
427,18.05.2015 05:00:00,23.1251,
428,18.05.2015 06:00:00,23.1727,3.667
429,18.05.2015 07:00:00,23.2098,
430,18.05.2015 08:00:00,23.2182,
431,18.05.2015 09:00:00,23.2221,
432,18.05.2015 10:00:00,23.2216,
433,18.05.2015 11:00:00,23.2135,
434,18.05.2015 12:00:00,23.1929,3.666
435,18.05.2015 13:00:00,23.1546,
436,18.05.2015 14:00:00,23.1152,
437,18.05.2015 15:00:00,23.0905,
438,18.05.2015 16:00:00,23.0657,
439,18.05.2015 17:00:00,23.0501,
440,18.05.2015 18:00:00,23.0552,3.666
441,18.05.2015 19:00:00,23.0886,
442,18.05.2015 20:00:00,23.1402,
443,18.05.2015 21:00:00,23.225,
444,18.05.2015 22:00:00,23.3402,
445,18.05.2015 23:00:00,23.4563,
446,19.05.2015 00:00:00,23.5905,3.669
447,19.05.2015 01:00:00,23.7438,
448,19.05.2015 02:00:00,23.8816,
449,19.05.2015 03:00:00,24.01,
450,19.05.2015 04:00:00,24.1106,
451,19.05.2015 05:00:00,24.2235,
452,19.05.2015 06:00:00,24.291,3.671
453,19.05.2015 07:00:00,24.3469,
454,19.05.2015 08:00:00,24.383,
455,19.05.2015 09:00:00,24.4117,
456,19.05.2015 10:00:00,24.4259,
457,19.05.2015 11:00:00,24.4208,
458,19.05.2015 12:00:00,24.4154,3.669
459,19.05.2015 13:00:00,24.4043,
460,19.05.2015 14:00:00,24.421,
461,19.05.2015 15:00:00,24.4465,
462,19.05.2015 16:00:00,24.4647,
463,19.05.2015 17:00:00,24.4878,
464,19.05.2015 18:00:00,24.5325,3.673
465,19.05.2015 19:00:00,24.5755,
466,19.05.2015 20:00:00,24.6348,
467,19.05.2015 21:00:00,24.7052,
468,19.05.2015 22:00:00,24.7887,
469,19.05.2015 23:00:00,24.8742,
470,20.05.2015 00:00:00,24.9218,3.672
471,20.05.2015 01:00:00,24.9159,
472,20.05.2015 02:00:00,24.85,
473,20.05.2015 03:00:00,24.7389,
474,20.05.2015 04:00:00,24.6104,
475,20.05.2015 05:00:00,24.4767,
476,20.05.2015 06:00:00,24.2986,3.671
477,20.05.2015 07:00:00,24.1138,
478,20.05.2015 08:00:00,23.946,
479,20.05.2015 09:00:00,23.7328,
480,20.05.2015 10:00:00,23.5292,
481,20.05.2015 11:00:00,23.3036,
482,20.05.2015 12:00:00,23.0761,3.669
483,20.05.2015 13:00:00,22.8694,
484,20.05.2015 14:00:00,22.6699,
485,20.05.2015 15:00:00,22.4944,
486,20.05.2015 16:00:00,22.3603,
487,20.05.2015 17:00:00,22.2631,
488,20.05.2015 18:00:00,22.2063,3.664
489,20.05.2015 19:00:00,22.1729,
490,20.05.2015 20:00:00,22.1138,
491,20.05.2015 21:00:00,22.0258,
492,20.05.2015 22:00:00,21.814,
493,20.05.2015 23:00:00,21.6609,
494,21.05.2015 00:00:00,21.6272,3.662
495,21.05.2015 01:00:00,21.5708,
496,21.05.2015 02:00:00,21.3685,
497,21.05.2015 03:00:00,21.1226,
498,21.05.2015 04:00:00,20.8346,
499,21.05.2015 05:00:00,20.5141,
500,21.05.2015 06:00:00,20.1605,3.652
501,21.05.2015 07:00:00,19.7831,
502,21.05.2015 08:00:00,19.3913,
503,21.05.2015 09:00:00,18.9926,
504,21.05.2015 10:00:00,18.5864,
505,21.05.2015 11:00:00,18.2335,
506,21.05.2015 12:00:00,18.0097,3.646
507,21.05.2015 13:00:00,17.8469,
508,21.05.2015 14:00:00,17.7451,
509,21.05.2015 15:00:00,17.647,
510,21.05.2015 16:00:00,17.539,
511,21.05.2015 17:00:00,17.6387,
512,21.05.2015 18:00:00,18.0035,3.644
513,21.05.2015 19:00:00,18.432,
514,21.05.2015 20:00:00,18.7591,
515,21.05.2015 21:00:00,19.0507,
516,21.05.2015 22:00:00,19.2631,
517,21.05.2015 23:00:00,19.4363,
518,22.05.2015 00:00:00,19.5712,3.647
519,22.05.2015 01:00:00,19.6778,
520,22.05.2015 02:00:00,19.7584,
521,22.05.2015 03:00:00,19.82,
522,22.05.2015 04:00:00,19.8629,
523,22.05.2015 05:00:00,19.8906,
524,22.05.2015 06:00:00,19.9337,3.652
525,22.05.2015 07:00:00,19.9882,
526,22.05.2015 08:00:00,20.0729,
